# game2 資源 42：守護者堡壘的內殿（金門、直升機庫、修烤麵包機的工作檯）
#
# ⚠ 密語與按鍵不翻：ROSEBUD／A–F。
#
# `ROSEBUD` 是《大國民》的梗，在這裡收尾：`game2:36:56` 床墊底下那張紙寫著
# 這個字，這裡它同時是金門的密碼，而雜物堆裡真的躺著一把寫著 ROSEBUD 的雪橇
# （電影的最後一顆鏡頭）。**保留原文**，翻成中文整條線就斷了。
blk:game2:42:4	\x0D欄杆上打著蛇形的紋樣。\x0D
blk:game2:42:5	\x0D灰色大理石階梯從內殿往下通到底下的外殿。\x0D
blk:game2:42:7	\x0D粗糙的火山岩是深藍灰色，像一塊嚴重的瘀青。這是個令人不安的地方。\x0D
blk:game2:42:8	\x0D這裡的牆不是砌起來的，房間本身是從岩層裡鑿出來的。牆非常紮實。\x0D
blk:game2:42:9	\x0D這些牆打磨得光滑細緻，顯示它們圍起來的房間對守護者有特殊意義。\x0D
blk:game2:42:10	\x0D掛在燒黑鉸鏈上的木刺與碎片，是這裡曾經有過一道門的全部痕跡。\x0D
blk:game2:42:13	\x0D這對金門非常厚實，上面刻著你認得出是電子線路的紋樣。\x0D
blk:game2:42:14	\x0D這個房間的牆很平滑，上面掛著許多你在講過去的書上看過的精美藝術品。\x0D
blk:game2:42:15	牆上嵌著一個英數鍵盤，看起來是這面牆上那對金門的電腦鎖。\x0D
blk:game2:42:16	ROSEBUD
blk:game2:42:17	\x0D一道電流從鎖面板底下的地板鋼板竄過！\x0D
blk:game2:42:18	\x0D密碼正確，那對金門隆隆作響，滑進門框兩側的牆裡。\x0D
blk:game2:42:19	\x0D那對金門從藏身處滑了出來，重新緊密地封上。\x0D
blk:game2:42:20	你們一走進去，守護者就抬起頭伸手去拿武器。\x0D
blk:game2:42:21	你們一進走廊，駐守在那裡的女人就上前攻擊。\x0D
blk:game2:42:22	一個高階守護者朝你們的方向一指，他的手下隨即擺出戰鬥架式。\x0D
blk:game2:42:23	兩個駕駛從直升機上湧下來舉起武器！\x0D
blk:game2:42:24	\x0D鐵絲網一路延伸到上方，那裡有一道鉸鏈式的屋頂艙門像一把鐵傘懸在直升機上方。\x0D
blk:game2:42:25	\x0D你成功在鐵絲網上開了一個洞。\x0D
blk:game2:42:26	\x0D這是一張工作檯，看起來非常適合修理各種壞掉的家電，比方說烤麵包機！\x0D
blk:game2:42:27	\x0D你輕鬆把烤麵包機固定好，開始動工。\x0D
blk:game2:42:28	\x0D那個沒辦法在這裡修，它不是壞掉的烤麵包機。\x0D
blk:game2:42:29	\x0D那台烤麵包機裡好像卡著什麼東西。\x0D
blk:game2:42:30	\x0D你想出辦法把裡面的東西弄出來了。\x0D
blk:game2:42:31	\x0D你就是想不出怎麼把裡面的東西弄出來。\x0D
blk:game2:42:32	\x0D你沒辦法在這張工作檯上修別的東西了，它被陳年的吐司屑塞住了。噁！\x0D
blk:game2:42:33	\x0D直升機從敞開的屋頂升起，朝你們的目的地飛去。\x0D
blk:game2:42:34	\x0D機門打開，讓你們進入昏暗的機艙。駕駛座被鎖在最前面，沒辦法用。\x0D
blk:game2:42:35	\x0D你伸手解開座椅的鎖。椅子往後滑，你坐了進去。你按下開關，引擎轟然作響。\x0D
blk:game2:42:36	\x0D你想不出怎麼解開駕駛座的鎖。\x0D
blk:game2:42:37	\x0D你操縱起操縱桿像個老手；開這台小傢伙輕鬆得很。起飛前先把乘客帶上來。\x0D
blk:game2:42:38	\x0D你開始拉升，感覺直升機朝牆偏過去。你抓住操縱桿，設法避免慘劇。\x0D
blk:game2:42:39	\x0D你沒能挽回，旋翼撞上牆碎成一片片。這隻鳥再也飛不起來了。\x0D
blk:game2:42:40	只能單程：\x0D\x0D\x11\x10A) 科奇斯基地\x0D\x10B) 廢料場村\x0D\x10C) 沉睡者基地\x0D\x10D) 維加斯\x0D\x10E) 石英城\x0D\x10F) 針岩城\x0D
blk:game2:42:41	\x0D這架直升機沒辦法用了，因為某個笨蛋把它撞上了牆。\x0D
blk:game2:42:42	A
blk:game2:42:43	B
blk:game2:42:44	C
blk:game2:42:45	D
blk:game2:42:46	E
blk:game2:42:47	F
blk:game2:42:48	\x0D這張桌上堆滿各式各樣的古董與破爛。\x0D
blk:game2:42:49	\x0D你在那堆雜物裡找到一樣在西南部非常突兀的東西：一把舊雪橇，上面寫著「ROSEBUD」。\x0D
blk:game2:42:50	\x0D你在那堆雜物裡沒找到有意思的東西。\x0D
blk:game2:42:51	\x0D鐵絲網還是擋著你們的路。\x0D
