# game2 資源 11：拉斯維加斯的廢棄街區（塗鴉、垃圾與各種會咬人的小東西）
#
# ⚠ 牆上的塗鴉保留原文（`THE WHITE BOY IS #1`／`KILROY WAS HERE`）——
# 那是漆在牆上的字，不是敘述。`Kilroy was here` 是二戰美軍留下的著名塗鴉，
# 這裡署名的 Tin Man 與 `game2:41` 酒窖那道塗鴉是同一個人。
#
# 54 的「遊俠先生」是《瑜珈熊》的口頭禪（Mr. Ranger, sir!）的挪用，語氣要留。
blk:game2:11:1	\x0D這些老磚牆正慢慢碎裂剝落。\x0D
blk:game2:11:2	\x0D這些混凝土牆老到開始腐朽了。\x0D
blk:game2:11:3	\x0D這些木牆正在裂開、爆出木刺。\x0D
blk:game2:11:5	\x0D小心點，不然這面牆會倒。\x0D
blk:game2:11:6	\x0D這面牆上到處是粗糙的裸女圖和幫派記號。\x0D
blk:game2:11:7	\x0D這面牆上滿是幫派名號和給其他幫派的警告。\x0D
blk:game2:11:8	\x0D這面牆上數百個彈孔上面，漆著 THE WHITE BOY IS #1。\x0D
blk:game2:11:9	\x0D一張典型的 Kilroy 塗鴉底下寫著 KILROY WAS HERE，署名錫人。\x0D
blk:game2:11:10	\x0D這棟建築很久以前剛蓋好的時候相當氣派。\x0D
blk:game2:11:11	\x0D風把灰塵和落葉吹進這個房間吹了太久，現在都快積了三呎深。\x0D
blk:game2:11:12	\x0D當地人一定把所有垃圾都丟進這棟建築。那些東西都快從門口滿出來了。\x0D
blk:game2:11:13	\x0D看樣子有什麼人、或什麼東西在這裡紮過營。\x0D
blk:game2:11:14	\x0D你們四周的牆和天花板上滿是塗鴉和彈孔。\x0D
blk:game2:11:15	\x0D這個房間的牆看起來像有人拿大鎚想敲出幾扇窗。\x0D
blk:game2:11:16	\x0D你聽得見四周黑暗中許多小腳的聲音。\x0D
blk:game2:11:17	\x0D老鼠的吱吱聲在你們四周的牆上來回彈跳。\x0D
blk:game2:11:18	\x0D這個房間裡的垃圾快積到膝蓋了。\x0D
blk:game2:11:19	\x0D這裡一定是當地的茅房。臭得要命。\x0D
blk:game2:11:20	\x0D不是那堆垃圾在動，就是垃圾底下有東西在動。\x0D
blk:game2:11:21	\x0D這個房間裡的家具只能拿去當柴燒。\x0D
blk:game2:11:22	\x0D這個被煙燻黑的房間正中央有一堆燒過的木頭。\x0D
blk:game2:11:23	\x0D別亂動！這張椅子隨時會散。\x0D
blk:game2:11:24	\x0D別在這張桌上放東西。我看它連一根羽毛的重量都撐不住。\x0D
blk:game2:11:25	\x0D這些積灰的舊架子閒置在這裡的年數，比你活的還久。\x0D
blk:game2:11:26	\x0D很久以前這裡有過一道門。\x0D
blk:game2:11:27	\x0D你們正踩在這個房間的門上。\x0D
blk:game2:11:28	\x0D鉸鏈的彈簧雖然鏽了，還是會在你們走開後把門帶上。\x0D
blk:game2:11:29	\x0D你運氣好！那條蛇要是留下來打，可能會很難纏。\x0D
blk:game2:11:30	\x0D糟了！你把腳伸進了那條蛇的嘴裡。牠咬了你之後就死了，但現在麻煩的是你。\x0D
blk:game2:11:31	\x0D你每走一步都踩碎好幾千隻藍色小蜘蛛。\x0D
blk:game2:11:32	\x0D哎呀！你踩到最後那隻的時候沾了一身藍蜘蛛的體液。你的臉色不太好看。\x0D
blk:game2:11:34	\x0D哎喲！可愛的黃色小蜘蛛咬起來很兇。\x0D
blk:game2:11:35	\x0D會在黑暗中發光的蜘蛛看起來很兇。不過這些蜘蛛看起來也病得不輕。\x0D
blk:game2:11:36	\x0D這隻蜘蛛死前咬了你一口。你覺得有點反胃。\x0D
blk:game2:11:37	\x0D蠍子爬滿了牆面。別讓牠們靠你太近。\x0D
blk:game2:11:38	\x0D小心！一隻蠍子掉在你脖子上螫了你。最好快點去看醫生。\x0D
blk:game2:11:39	\x0D變種小烏龜在這個房間裡到處跑。小心點，不然會踩死一隻。\x0D
blk:game2:11:40	\x0D糟糕！你踩死那一隻了。小心，牠們的殼非常銳利。\x0D
blk:game2:11:41	\x0D這隻老鼠嘴角冒著白沫，牠餓壞了，而你在牠眼裡看起來就是晚餐。\x0D
blk:game2:11:42	\x0D這隻餓壞的老鼠咬完最後一口就死了。可惜牠有狂犬病。\x0D
blk:game2:11:43	\x0D老邁虛弱的鼠爺爺坐了起來，上下打量你。\x0D
