# game1 資源 5：石英城的廢棄街區（垃圾、塗鴉與各種變種小生物）
#
# ⚠ 牆上的塗鴉保留原文（`WHITE BOY RULES`／`TIN MAN WAS HERE!`），
# 與 `game2:11` 同一套幫派塗鴉，署名的錫人也是同一個人。
#
# ⚠ 23 的原文把 `bite` 拼成 `byte`（電腦雙關）。中文沒有對應的諧音，
# 譯文照字面走，梗記在這裡——**硬湊一個中文雙關只會讓句子讀不通**。
blk:game1:5:1	\x0D這些磚牆缺角剝落，一碰就碎。\x0D
blk:game1:5:2	\x0D這些木牆正在散開。\x0D
blk:game1:5:5	\x0D離開這裡。\x0D
blk:game1:5:6	\x0D這棟建築將近一百年沒有人用過了。\x0D
blk:game1:5:7	\x0D飄進這棟建築的塵土與落葉快積了一呎深。\x0D
blk:game1:5:8	\x0D看樣子你們走進了當地的垃圾場。\x0D
blk:game1:5:9	\x0D這家小店關門很久了。\x0D
blk:game1:5:10	\x0D這個房間的牆上滿是塗鴉。\x0D
blk:game1:5:11	\x0D你聽得見四周垃圾堆裡小腳窸窣移動的聲音。\x0D
blk:game1:5:12	\x0D許多老鼠的吱吱聲在這個空房間裡空洞地迴響。\x0D
blk:game1:5:13	\x0D這個房間裡所有的家具看起來又舊又脆。\x0D
blk:game1:5:14	\x0D這裡曾經有過一道門，不過……\x0D
blk:game1:5:15	\x0D你們正踩在那道門剩下的東西上。\x0D
blk:game1:5:16	\x0D小心！你差點踩到那條蛇。幸好牠正要離開這個房間。\x0D
blk:game1:5:17	\x0D哎喲！你被一條打帶跑的沙漠蛇咬了。你會需要人幫忙。\x0D
blk:game1:5:18	\x0D會發光的沙漠狼蛛被你的腳步聲嚇得四散。\x0D
blk:game1:5:19	\x0D一隻沙漠蜘蛛從天花板掉下來咬了你。看起來有毒。\x0D
blk:game1:5:20	\x0D幹得好！你踩死了那隻蠍子。要非常小心，可能還有更多。\x0D
blk:game1:5:21	\x0D那隻蠍子咬了你一口才竄走。\x0D
blk:game1:5:22	\x0D那些變種鱷龜跑得真快。看牠們一哄而散。\x0D
blk:game1:5:23	\x0D變種鱷龜咬起來真的很狠。而且很會躲。\x0D
blk:game1:5:24	\x0D到處都是老鼠。每一隻都用一雙紅色的小豆眼盯著你們。\x0D
blk:game1:5:25	\x0D你被一隻快死的老鼠咬了。可惜牠有狂犬病。\x0D
blk:game1:5:27	\x0D這個房間裡的垃圾深及膝蓋，而且感覺會動。\x0D
blk:game1:5:28	\x0D小心，這張桌子又舊又搖，你對它打個噴嚏它就會散。\x0D
blk:game1:5:29	\x0D別在這張椅子上亂跳。它隨時會垮。\x0D
blk:game1:5:30	\x0D噁！這絕對是你進過最臭的房間。\x0D
blk:game1:5:31	\x0D那條透明的蛇滑進地板縫時你幾乎看得見牠。又一種戰爭留下的變種。\x0D
blk:game1:5:32	\x0D你剛被一條透明的蛇咬了。要找到牠，你得用上全部的運氣。\x0D
blk:game1:5:33	\x0D喂！看那個。一群會飛的蠍子。\x0D
blk:game1:5:34	\x0D你得趕快就醫。你剛被一隻會飛的蠍子螫了。\x0D
blk:game1:5:35	\x0D喀！世界上少了一隻變種烏龜。\x0D
blk:game1:5:36	\x0D喀！你踩死了那隻烏龜，但牠先咬了你一口。\x0D
blk:game1:5:37	\x0D變種老鼠一點膽子都沒有。看牠們跑得多快。\x0D
blk:game1:5:38	\x0D十條腿的黑寡婦跑得真快。\x0D
blk:game1:5:39	\x0D哎喲！你剛被一隻十條腿的黑寡婦咬了。算你倒楣。\x0D
blk:game1:5:41	\x0D就可愛的黃色小蜘蛛來說，這些傢伙咬起來真狠。算你走運，牠們活不久。\x0D
blk:game1:5:42	\x0D出乎意料，那道舊彈簧門你一碰就開了。這麼舊了還能用。\x0D
blk:game1:5:43	\x0D這面牆上滿是噴漆的幫派名號、醜陋的圖畫、彈孔和血跡。\x0D
blk:game1:5:44	\x0D這面牆上寫著 WHITE BOY RULES 和 TIN MAN WAS HERE！\x0D
blk:game1:5:45	\x0D一隻老邁虛弱的老鼠剛掉在你腳上死了。可惜牠是牙齒先著地。\x0D
