# 地點招牌。**這些字不在字串表裡**——它們是地圖記錄與存檔裡的明文 ASCII
# （`docs/re/29` §5.4、`docs/re/30`），所以翻譯走「顯示時查表」，
# 一個 byte 都不改玩家的存檔（`CLAUDE.md` §4 的存檔策略）。
#
# 體例：**地名與專有名詞寫成「中文（英文）」**（使用者定案 2026-08-18）——
# 保留英文讓玩家對得上原版畫面、官方手冊與當年的攻略。
# 代價是比原文長，所以 `build_lang.py` 對 `place:`／`monster:` 兩類
# 把格數上限放寬成「一行 38 格」，而不是「不超過原文」。
place:AG. store	農業雜貨（AG. store）
place:Blackmarket	黑市（Blackmarket）
place:Books	書店（Books）
place:Chopper Sim.	直升機模擬（Chopper Sim.）
place:Clone prep.	複製準備室（Clone prep.）
place:HOLY KNOWING	聖知識中心（HOLY KNOWING）
place:Infirmary	醫護室（Infirmary）
place:Library	圖書館（Library）
place:LV Infirmary	維加斯醫護室（LV Infirmary）
place:Market	市場（Market）
place:New Thoughts	新思想（New Thoughts）
place:NUCLEAR AID	核子救護（NUCLEAR AID）
place:Old Doc Bobs	老鮑伯醫生（Old Doc Bobs）
place:Patch em' up	補一補診所（Patch em' up）
place:Q. Emergency	石英城急診（Q. Emergency）
place:Q. Emporium	石英城商場（Q. Emporium）
place:Ranger Ctr.	遊俠中心（Ranger Ctr.）
place:Sickbay	醫務室（Sickbay）
place:Store	商店（Store）
place:Tech section	技術部門（Tech section）
place:Thrift store	二手商店（Thrift store）
place:Trading car	交易車廂（Trading car）
place:Vegas Lib.	賭城圖書館（Vegas Lib.）
