# game1 資源 26：針岩城的城外與市區入口（鐵路、廢料坑、各設施門口）
#
# ⚠ 28 那張字條上的 `REDHAWK` 是玩家要輸入的密語（`game1:49`），不翻。
blk:game1:26:1	\x0D離開針岩城。\x0D
blk:game1:26:2	\x0D進入蘑菇雲僕從教堂。\x0D
blk:game1:26:3	\x0D進入警察局。\x0D
blk:game1:26:4	\x0D進入加油站。\x0D
blk:game1:26:6	\x0D進入血之神殿。\x0D
blk:game1:26:7	火車的工程師大喊：「全體上車！」要上去嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:26:8	Y
blk:game1:26:9	\x0D我隨時都在這裡載你們。找老艾德工程師就對了。\x0D
blk:game1:26:10	\x0D這座城的防禦牆剩下的部分看起來又老又破。\x0D
blk:game1:26:11	\x0D這面混凝土牆又老又裂\x0D
blk:game1:26:12	\x0D你沒辦法穿牆而過。\x0D
blk:game1:26:13	\x0D這個沙丘形狀奇怪，比較像人堆的，不像風吹出來的。\x0D
blk:game1:26:14	\x0D這條鐵路看起來是新鋪的，但鐵軌看起來非常舊。\x0D
blk:game1:26:15	\x0D流動的沙漠沙丘堆出了一座小丘。\x0D
blk:game1:26:16	\x0D哎呀！腳下的沙塌了，你從丘上滑了下來。\x0D
blk:game1:26:17	\x07歡迎光臨老鮑伯醫生那裡。\x0D
blk:game1:26:18	\x07「請安靜！這裡是高等學問的殿堂。」\x0D
blk:game1:26:19	\x0D笨蛋！你應該聰明到不會去摸仙人掌吧。\x0D
blk:game1:26:20	\x0D一圈又高又鏽的舊欄杆圍著鎮上的廢料坑。\x0D
blk:game1:26:21	\x0D進入鎮上的廢料坑。\x0D
blk:game1:26:22	\x0D彈藥掩體裡又涼又暗。\x0D
blk:game1:26:23	\x0D這裡有階梯通往廢料坑。\x0D
blk:game1:26:24	\x0D這裡躺著一面牆的殘骸。\x0D
blk:game1:26:25	\x0D這裡發生過激烈的戰鬥。城牆被炸掉了。\x0D
blk:game1:26:26	\x0D進入老鮑伯醫生那裡。\x0D
blk:game1:26:27	\x0D進入一座圖書館。\x0D
blk:game1:26:28	\x0D呼！你剛爬到頂，沙就塌了下來，而你發現一張字條。上面寫著：「請幫忙找到 REDHAWK 並送他回野人村。」\x0D
blk:game1:26:29	你們面對幾個憤怒的敵人。\x0D
