# game2 資源 24：拉斯維加斯下水道的第二段（裂谷、改造人巢穴）
#
# ⚠ 玩家要按的鍵不翻：1–4／Y／N。
# `Tazel` 是原版自創的生物名，音譯成塔澤爾。
blk:game2:24:1	1
blk:game2:24:2	2
blk:game2:24:3	3
blk:game2:24:4	4
blk:game2:24:7	\x0D污水的急流把你沖得站不住腳，一路捲往下游。\x0D
blk:game2:24:8	\x0D這一段的污水流得快一些，用力拉扯著你的腿。\x0D
blk:game2:24:9	\x0D離開這個爛坑。\x0D
blk:game2:24:14	\x0D水又稠又冷。那黏滑的觸感讓你渾身發寒。\x0D
blk:game2:24:20	\x0D這一段牆敲起來是空心的。\x0D
blk:game2:24:21	\x0D牆挪動後崩落，留下一個夠你們鑽過去的洞。\x0D
blk:game2:24:23	你聽見有東西在混濁的水裡濺出水花。\x0D
blk:game2:24:24	陰影深處，你聽見改造人攻擊者急促的低聲命令。\x0D
blk:game2:24:25	某種生物的腳步聲在牆上回響。但那東西還是很難看見。\x0D
blk:game2:24:27	\x0D在你們宰掉的那些改造人血肉模糊的殘骸之中，複雜的機械仍在嗡嗡運轉。\x0D
blk:game2:24:28	\x0D你們搜出了一些有用的裝備。\x0D
blk:game2:24:29	\x0D你們沒找到什麼值錢的東西，卻聽見一陣尖銳的哀鳴響起……\x0D
blk:game2:24:30	\x0D不管藏在那些改造人機械零件裡的是什麼鬼裝置，你們都閃過了它的傷害。\x0D
blk:game2:24:31	\x0D機械裡有東西爆炸，殘骸噴得到處都是。\x0D
blk:game2:24:32	\x0D污水在這裡積成一潭黑暗森然的死水。\x0D
blk:game2:24:33	\x0D一道極寬、深得嚇人的裂谷橫斷在你們的去路上。\x0D
blk:game2:24:34	\x0D你把繩子高高拋出去，它固定住了。應該撐得住一次一個人盪過裂谷。\x0D
blk:game2:24:35	\x0D你毫不費力地盪過空中。\x0D
blk:game2:24:36	\x0D繩子上的重量太多，斷了！\x0D
blk:game2:24:37	\x0D這裡看起來不是個適合過去的地方。\x0D
blk:game2:24:38	\x0D落差很大，你像顆砲彈一樣直墜而下！\x0D
blk:game2:24:39	\x0D你還一路撞上裂谷的岩壁，摔得相當慘。\x0D
blk:game2:24:40	\x0D那些手點一次只夠一個人安全爬上去。\x0D
blk:game2:24:41	\x0D你成功爬上了岩架。\x0D
blk:game2:24:42	\x0D你想爬上岩架，卻滑了一下。哎喲！\x0D
blk:game2:24:43	\x0D你發現在岩石上彈來彈去是會痛的！\x0D
blk:game2:24:44	\x0D這段攀爬很難，緊張的汗把你的手都弄濕了。\x0D
blk:game2:24:45	\x0D你把繩子拋出去，卻沒搆到對面的岩架，掉進了裂谷。\x0D
blk:game2:24:46	\x0D你把自己拉上一處岩架，發現先前掉下來的某個人的遺骸。\x0D
blk:game2:24:48	一小群人形生物與狼形機械渣滓發動攻擊。\x0D
blk:game2:24:49	一群閃著金屬光澤的血肉半人馬奔出來與你們交戰！\x0D
blk:game2:24:50	\x0D你們在瓦礫堆裡偶然踢到一個塔澤爾巢。\x0D
blk:game2:24:53	一群半人與改造人從陰影裡撲了出來！\x0D
blk:game2:24:56	\x0D住在下水道裡的某種可憐生物，把各種零碎的小東西收集到這裡。\x0D
blk:game2:24:57	\x0D你們找到一小堆收集在這裡的奇怪東西。\x0D
blk:game2:24:58	讓你們毛骨悚然的是，一個改造人從那堆廢棄物裡站了起來。\x0D
blk:game2:24:59	\x0D黑暗厚得像一件斗篷，藏著許多恐怖的東西。\x0D
blk:game2:24:62	\x0D一聲狼嚎在黑暗中迴盪，從四面八方傳來。你覺得被包圍了，很不安。\x0D
blk:game2:24:64	一聲狼嚎劈啪化成合成的雜訊，改造狼從巢穴裡竄出來攻擊。\x0D
blk:game2:24:65	你看見幾個纏著線路、披著鋼網甲的人形舉起武器，朝你們這邊開火。\x0D
blk:game2:24:66	又有幾個改造人端著武器從轉角跑了過來。\x0D
blk:game2:24:67	\x0D你把繩子拋上去，卻沒勾到任何東西。\x0D
blk:game2:24:68	\x0D前面有一道寬闊的裂谷。看樣子可以在這裡固定繩子再過去。\x0D
blk:game2:24:69	\x0D你忽然抓不住繩子，摔了下去！\x0D
blk:game2:24:70	\x0D你順利滑過了裂谷。\x0D
blk:game2:24:71	你的繩子橫拉在裂谷上。要滑過去嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game2:24:72	Y
