# game1 資源 32：針岩城的荒廢街（Rosie's Motel、Leroy's、阿卡波可俱樂部）
#
# ⚠ 玩家要輸入的密語與按鍵不翻：ACAPULCO／Y／N／P／L。
#
# `Wastemetal` 是重金屬的荒野版惡搞，譯成「荒野金屬」；
# `The Jerks` 是幫派名，譯成「混球幫」。
blk:game1:32:1	\x0D進入 Leroy 的軍火櫃檯。\x0D
blk:game1:32:4	\x0D你連這道門都打不開，孬種——它一邊的鉸鏈都快掉了。\x0D
blk:game1:32:5	\x0D這棟廢棄的建築牆倒是很紮實。\x0D
blk:game1:32:6	\x0D這裡有一具發臭的屍體，用床單裹著。\x0D
blk:game1:32:7	\x0D這裡聞起來又霉又舊。遠處那面牆邊堆滿各種破爛與垃圾。\x0D
blk:game1:32:8	\x0D成堆的混凝土塊與廢料擋住了巷子。\x0D
blk:game1:32:9	\x0D你搬開了一些廢料。\x0D
blk:game1:32:10	\x0D你把廢料清開時，看見巷子裡有一大群街頭幫派在聚會！\x0D
blk:game1:32:13	\x0D那張「汽車旅館」的櫃檯，積滿灰塵，很久沒用了。\x0D
blk:game1:32:14	\x0D這是一棟普通的房子，但門上一塊手寫的招牌寫著「蘿西汽車旅館。會員專用。」\x0D
blk:game1:32:15	\x0D你聽見其中一個牌友說：「你聽說了嗎？蘑菇雲主教派他的祭司去查那些凶殺案，結果好幾天沒人見過他了。」\x0D
blk:game1:32:17	\x0D哎喲！一面實心的牆！\x0D
blk:game1:32:18	一個性感的三條腿女人靠在牆上。「有興趣嗎，帥哥？五十塊！」你要嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:32:19	Y
blk:game1:32:20	\x0D她把你帶進一個安靜的房間，你度過了一段有意思的時光。然後她走了，留下你覺得……不太乾淨。\x0D
blk:game1:32:21	\x0D「喂，我一次只接一個！」\x0D
blk:game1:32:22	\x0D「你別想賴帳，水手。五十塊，不然免談！」\x0D
blk:game1:32:23	\x0D「Leroy's Place：精品店。」\x0D
blk:game1:32:24	\x0DLeroy's 以前是家高級服飾店，現在牆上的漆都剝落了。時代也變了；你看得見南牆邊有個大大的彈藥櫃檯。\x0D
blk:game1:32:25	\x0D幾排褪色的洋裝和裙子。\x0D
blk:game1:32:26	\x0D別爬到吧檯上！\x0D
blk:game1:32:27	一杯十塊。要來一杯嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:32:28	\x0D酒保收了你的錢，給你一杯苦得像尿的水。喝了幾口之後，他跟你說起一個怪教派「蘑菇雲僕從」，要你當心他們的血杖。\x0D
blk:game1:32:29	\x0D給講究時尚的沙漠住民穿的迷彩服。\x0D
blk:game1:32:30	\x0D錢不夠！\x0D
blk:game1:32:31	\x0D去荒野金屬演唱會穿的條紋服裝。\x0D
blk:game1:32:32	\x0D幾張桌子上堆著特價出清的 T 恤。\x0D
blk:game1:32:33	\x0D別跨過槍枝櫃檯，不然你的臉可能會被轟掉。\x0D
blk:game1:32:34	\x07Leroy 的軍火櫃檯。\x0D
blk:game1:32:35	\x0D一排又舊又破的西裝和燕尾服。\x0D
blk:game1:32:36	這裡看起來是個私人俱樂部。牆上一個洞裡出現一顆眼球，你聽見：「暗號是什麼？」\x0D
blk:game1:32:37	ACAPULCO
blk:game1:32:38	\x0D這裡很暗，只有幾根蠟燭照明。\x0D
blk:game1:32:39	\x0D別爬到牌桌上。\x0D
blk:game1:32:40	\x0D門開了，你們走了進去。\x0D
blk:game1:32:41	\x0D這道門非常、非常牢固。\x0D
blk:game1:32:42	\x0D這面牆看起來真的又厚又牢。\x0D
blk:game1:32:43	幾個賭客擠在桌邊。「我們這裡玩的撲克賭注不小，遊俠。底注五十，桌面再五十。」\x0D\x0D\x11\x10P 玩一手。\x0D\x10L 離開。\x0D
blk:game1:32:44	P
blk:game1:32:45	\x0D你的錢不夠玩！\x0D
blk:game1:32:46	\x0D你輸了！\x0D
blk:game1:32:47	一個軍人模樣的女人站在你們面前。\x0D
blk:game1:32:48	\x0D那個女人往地上啐了一口，還是加入了你們。\x0D
blk:game1:32:49	\x0D過不去的瓦礫。這裡以前是棟兩層樓建築，上層垮了。\x0D
blk:game1:32:50	\x0D這輛遊覽車被爆炸掏空了。這裡完全沒有值錢的東西。\x0D
blk:game1:32:51	\x0D路上一個彈坑，迫擊砲打的。\x0D
blk:game1:32:52	那個三條腿的女人大剌剌地看著你們。\x0D
blk:game1:32:53	\x0D「滾遠一點！」\x0D
blk:game1:32:54	要離開俱樂部嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:32:55	\x0D門開了，你們走了出去。\x0D
blk:game1:32:56	那個頭目發動攻擊！\x0D
blk:game1:32:57	混球幫閒晃的地盤。\x0D
blk:game1:32:58	\x0D「可惜了，水手，你本來可以玩得很開心的。」\x0D
blk:game1:32:59	\x0D那堆廢料紋風不動。\x0D
blk:game1:32:60	\x0D別去撞變種妓女，老兄。\x0D
blk:game1:32:61	\x0D「別煩我。我很忙。」\x0D
blk:game1:32:64	\x0D「聽著，我就是不接女客。」\x0D
blk:game1:32:65	\x0D那道門還是關著、鎖著。\x0D
blk:game1:32:66	\x0D這傢伙看起來像某種宗教狂熱份子。「加入蘑菇教吧，」他說。他跑開之前，你看見他脖子上有一道疤。\x0D
blk:game1:32:67	\x0D你站在一條寬闊柏油路的正中央。附近的建築看起來破敗荒廢。\x0D
blk:game1:32:68	\x0D到處都是「混球幫」的塗鴉。\x0D
