# game2 資源 13：沉睡者基地的複製人實驗室、化學合成器與停屍間
#
# ⚠ 選項前綴的數字不翻（`\x101)` 那個 `1` 是玩家按的鍵，docs/re/43）。
#
# ⚠ 通緝告示（70）的 Nishan Hossepian **保留原文**——他是原版製作人員之一
# （見 `game1:33:92` 的名單），那是開發團隊把自己寫進遊戲的玩笑，屬於史料。
# 停屍間腳牌上的名字不在名單裡，當一般 NPC 音譯。
blk:game2:13:4	\x0D你面前立著幾排放滿書的架子。\x0D
blk:game2:13:5	\x0D這道門看起來很普通，卻完全推不動。\x0D
blk:game2:13:6	\x0D控制板上的燈閃著，顯示藥劑濃度嚴重需要調整。\x0D
blk:game2:13:7	\x0D你漂亮地把它們調好了。\x0D
blk:game2:13:8	\x0D你以為成功了，但正確的配比還是沒抓到。\x0D
blk:game2:13:9	\x0D複製人培養進行中。\x0D
blk:game2:13:10	\x0D複製人已釋出。\x0D
blk:game2:13:11	\x0D監視器顯示藥劑失衡，而且排出系統阻塞。\x0D
blk:game2:13:12	\x0D藥劑濃度調得剛剛好。\x0D
blk:game2:13:13	\x0D監視器顯示排出系統有問題，必須改用手動備援。\x0D
blk:game2:13:14	\x0D合成器側面滑下一片面板，上緣有一個噴嘴。\x0D
blk:game2:13:15	\x0D裝得剛剛好，面板順利滑上關好。\x0D
blk:game2:13:16	\x0D裝得不太合，你不太確定它能撐多久。\x0D
blk:game2:13:17	\x0D所有系統就緒。\x0D
blk:game2:13:18	\x0D繼續。\x0D
blk:game2:13:19	\x0D醫生在。\x0D
blk:game2:13:20	\x0D複製程序進行中。\x0D
blk:game2:13:21	\x0D這具艙體使用中。\x0D
blk:game2:13:22	\x0D你沒有複製自己所需的藥劑。\x0D
blk:game2:13:23	複製艙控制：\x0D\x0D\x11\x101) 中止複製人\x0D   培養。\x0D\x102) 釋出複製人。\x0D
blk:game2:13:24	\x0D複製艙是空的。\x0D
blk:game2:13:25	\x0D複製人培養已中止。\x0D
blk:game2:13:26	\x0D複製艙。\x0D
blk:game2:13:27	\x0D別去撞那些機器。\x0D
blk:game2:13:28	\x0D複製艙打開接納你，不過裡面看起來有點小。\x0D
blk:game2:13:29	\x0D走道往前捲動，輕輕把你送進艙裡。\x0D
blk:game2:13:30	\x0D走道往回捲動，把你送出艙外——它一次只能接受一個人。\x0D
blk:game2:13:31	\x0D藍色的複製液從合成器側面漏出來，在地上漫成一灘黏液。\x0D
blk:game2:13:32	\x0D請看第 90 段。\x0D
blk:game2:13:33	\x0D電力調節器。\x0D
blk:game2:13:34	\x0D電力控制器好像少了一個轉換器。\x0D
blk:game2:13:35	\x0D你的修理成功了。\x0D
blk:game2:13:36	\x0D沒有適當的器材，怎麼修都修不好。\x0D
blk:game2:13:37	\x0D功能完全正常的電力控制器。\x0D
blk:game2:13:38	\x0D你四周厚厚的水晶牆後面，隱約是一具具巨大盔甲的輪廓。\x0D
blk:game2:13:39	\x0D這面水晶牆會把所有能量武器擴散掉，你使得出來的力道都傷不了它。\x0D
blk:game2:13:40	\x0D你打上去時牆震了一下，出乎意料地裂開一道縫。\x0D
blk:game2:13:41	\x0D沒有夠重的火力，你連讓它凹一下都做不到！\x0D
blk:game2:13:42	\x0D你再砸一次，更多裂縫從著力點蛛網般擴散開來。\x0D
blk:game2:13:43	\x0D一道詭異的綠光竄過水晶，修復的速度比你破壞的還快。\x0D
blk:game2:13:44	\x0D又一擊敲下碎片，牆上出現一個大凹洞。\x0D
blk:game2:13:45	\x0D可惜你被幾片水晶碎片割傷了。\x0D
blk:game2:13:46	\x0D最後一擊把牆整個震碎。你打穿了！\x0D
blk:game2:13:47	\x0D複製人的培養時間不足，無法釋出。\x0D
blk:game2:13:48	\x0D這張做工精細的橡木桌上仍然滿是文件與零碎雜物。\x0D
blk:game2:13:49	\x0D你翻出了一樣東西！\x0D
blk:game2:13:50	\x0D你笨手笨腳地翻找，把桌子整個毀了。\x0D
blk:game2:13:51	\x0D這張桌子現在亂七八糟。\x0D
blk:game2:13:52	\x0D這些普通家具看起來舒服，但沒有用處也不重要。\x0D
blk:game2:13:53	\x0D牆上的陳設與文憑顯示這裡曾經是主任醫官的辦公室。\x0D
blk:game2:13:54	\x0D牆上的文憑顯示菲力普·湯瑪斯 1987 年畢業於哈佛醫學院。\x0D
blk:game2:13:55	\x0D這個房間看起來曾經是基地的核子醫學部。\x0D
blk:game2:13:56	\x0D這是一個上鎖的安全櫃。透過玻璃你看得到幾件防輻射衣。\x0D
blk:game2:13:57	\x0D你成功把櫃子打開了。\x0D
blk:game2:13:58	\x0D這個櫃子比看起來牢固得多，怎麼弄都不開。\x0D
blk:game2:13:59	\x0D架子上放著幾個空的一加侖玻璃罐。\x0D
blk:game2:13:60	這裡有一座梯子。\x0D\x0D\x11\x101) 爬上第 1 層。\x0D\x102) 留在第 2 層。\x0D\x103) 爬下第 3 層。\x0D
blk:game2:13:61	1
blk:game2:13:62	2
blk:game2:13:63	3
blk:game2:13:64	4
blk:game2:13:65	化學合成器\x0D\x0D\x11\x101) 調配複製液\x0D\x102) 執行系統診斷\x0D
blk:game2:13:66	化學合成器：\x0D\x0D\x11\x101) 監看複製液的配比\x0D\x102) 執行系統診斷\x0D\x103) 安裝手動排出裝置\x0D\x104) 製造複製液\x0D
blk:game2:13:67	5
blk:game2:13:68	化學合成器\x0D\x0D\x11\x101) 監看複製液的配比\x0D\x102) 執行系統診斷\x0D\x103) 製造複製液\x0D
blk:game2:13:69	\x0D一直撞牆對你目前的處境沒有幫助。\x0D
blk:game2:13:70	\x0D這裡牆上有一張告示：「通緝：危害電腦軟體罪，Nishan Hossepian，生死不論賞金五千。」\x0D
blk:game2:13:71	\x0D你一走進這個房間就被刺骨的寒氣與腐肉的臭味襲擊。幾具屍體蓋著乾淨的白布躺在床上。\x0D
blk:game2:13:72	\x07你面前立著幾排放滿書的架子。\x0D
blk:game2:13:73	\x07醫生在。\x0D
blk:game2:13:74	\x0D這具屍體的腳牌寫著：唐·湯瑪斯。這一具比其他任何一具都臭。\x0D
blk:game2:13:75	\x0D這具屍體的腳牌寫著：肯尼斯·昂格拉。\x0D
blk:game2:13:76	\x0D這具屍體的腳牌寫著：黛博拉·沃格倫。這一具看起來是最近才放進來的。\x0D
blk:game2:13:77	\x0D這具屍體的腳牌寫著：喬治·莫洛尼克。這一具醜得無人能及。\x0D
blk:game2:13:78	\x0D這具屍體的腳牌寫著：魯道夫·西可洛。\x0D
blk:game2:13:79	\x0D這具屍體的腳牌寫著：羅蘭·普西。\x0D
blk:game2:13:80	\x0D未經授權的人員不得進入。\x0D
blk:game2:13:81	\x0D這面控制板關閉了。\x0D
blk:game2:13:82	\x0D名單上沒有位子放複製人。\x0D
