# 執行檔字串表 2（ds:B270）剩下的部分：名單表頭、傷勢狀態字、物品操作、
# 性別與國籍、磁碟錯誤訊息。
#
# ⚠ 純控制碼的條目（`exe:2:131`、`132`、`170`）與尾巴的解碼雜訊（`171`）不翻。

# --- 傷勢狀態字：名單 CON 欄印的就是這五個（docs/re/15 §4）---
# 原文各 3 格，中文用 2 格，欄寬（0x1C–0x20）放得下。
exe:2:133	\x01昏迷\x02
exe:2:154	\x01重傷\x02
exe:2:155	\x01危急\x02
exe:2:156	\x01瀕死\x02
exe:2:157	\x01昏死\x02

# --- 名單表頭 ---
# ⚠ 六個欄位的**值**寫在欄 0x11／0x15／0x18／0x1C／0x20（docs/re/15 §4），
# 這一行的標籤要對到那些位置，所以空白數量是算過的，不要「順手排整齊」。
exe:2:136	   姓名            護甲  彈藥 上限  體力  武器   \x02
exe:2:137	\x07姓名：\x0B
exe:2:138	性別：
exe:2:139	\x0D國籍：
exe:2:162	男
exe:2:163	女
exe:2:145	美國
exe:2:146	俄國
exe:2:147	墨西哥
exe:2:148	印度
exe:2:149	中國

# --- 物品與武器操作 ---
exe:2:134	\x04要排除卡彈？\x0D\x0D\x11\x10是\x0D\x10否\x0D
exe:2:135	\x0D\x0B不想交易。\x0D\x06
exe:2:140	P)集中  D)分錢\x08
exe:2:141	\x04要裝填？\x0D\x0D\x11\x10是\x0D\x10否\x0D
exe:2:142	\x04你要：\x0D\x0D\x11\x10丟棄\x0D\x10交易\x0D\x10裝備／卸下\x0D
exe:2:143	\x0D\x0D沒有人可以交易。\x0D\x06
exe:2:144	\x04誰要？\x0D
exe:2:150	\x0D\x0D\x0B帶不下了。\x0D\x06
exe:2:151	\x07    物品\x0D
exe:2:152	\x0D你的武器卡彈了。\x0D\x06
exe:2:153	\x07   等級   技能\x0D
exe:2:158	\x0D\x0B把\x0C\x0C\x0C的
exe:2:159	 技能提升到等級
exe:2:160	\x0D\x0B排除了卡彈。\x0D
exe:2:161	\x0D\x0B排不掉卡彈。\x0D

# --- 磁碟 ---
exe:2:164	輸出入錯誤
exe:2:165	磁片防寫
exe:2:166	請插入第
exe:2:167	面。(RETURN)\x03
exe:2:168	 重新排序\x0D
exe:2:169	 重新排序\x0D
