# game1 資源 33：針岩城的商業區（Hobo Dogs、神祕小舖、榴彈砲、電影海報牆）
#
# ⚠ 選項字母 A–F 與 Y 不翻，那是玩家按的鍵。
#
# 這張圖是整個遊戲的惡搞集中區：電影海報牆全是當年的片名戲仿
# （《亂世佳人》→ Gone With the Nuke Storm、《法櫃奇兵》→ Crater Raider），
# 水晶球裡那個巫師在罵「你以為這是 Bard's Tale 嗎」——那是 Interplay 自家的另一款遊戲。
# 片名照戲仿的方式翻，讓中文讀者也接得到梗；製作人員名單裡的人名一律保留原文。
blk:game1:33:1	\x0D你聽見「喀」一聲。\x0D
blk:game1:33:2	天花板打開，煤渣磚砸在你身上！\x0D
blk:game1:33:4	\x0D這棟建築好像沒有任何入口。\x0D
blk:game1:33:5	\x0D這是一間整齊、還算乾淨的房間（除了你在入口留下的那攤血）。\x0D
blk:game1:33:6	一個警衛擋住入口。\x0D
blk:game1:33:7	\x0D這是一門還能用的榴彈砲。不過你沒看到附近有砲彈。\x0D
blk:game1:33:8	\x0D一輛完全報廢的卡車。\x0D
blk:game1:33:9	\x0D曾經是跑車，被榴彈砲轟爛了。\x0D
blk:game1:33:10	\x0D榴彈砲轟出來的洞。\x0D
blk:game1:33:11	\x0D「你不在這裡上班！退開！」\x0D
blk:game1:33:12	這是一家速食攤。櫃檯後的女孩說：「歡迎光臨遊民熱狗。每樣五塊。要點餐嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:33:13	Y
blk:game1:33:14	請選：\x0D\x0D\x11\x10A) 遊民熱狗\x0D\x10B) 炸手指\x0D\x10C) 烤腦花\x0D\x10D) 半熟頭皮\x0D\x10E) 流浪漢臀肉\x0D\x10F) 血腸\x0D
blk:game1:33:15	A
blk:game1:33:16	B
blk:game1:33:17	C
blk:game1:33:18	D
blk:game1:33:19	E
blk:game1:33:20	F
blk:game1:33:21	\x0D嗯——遊民熱狗就是靠這一味出名的。\x0D
blk:game1:33:22	\x0D呃！太鹹了！\x0D
blk:game1:33:23	\x0D清爽香甜——而且對你很好！\x0D
blk:game1:33:24	\x0D有點水，但真的很好吃！\x0D
blk:game1:33:25	\x0D這塊肉又硬又沒味道，牙齒都快撐不住。\x0D
blk:game1:33:26	\x0D讚！這是你吃過最棒的點心！\x0D
blk:game1:33:27	\x0D入口內側的牌子寫著「比爾·杜根，血之神殿代表」。\x0D
blk:game1:33:28	\x0D這裡放著一疊小冊子，說明入教的嚴格條件。\x0D
blk:game1:33:29	\x0D一張空蕩的書桌。看樣子有人在休假。\x0D
blk:game1:33:31	\x0D打不開。\x0D
blk:game1:33:32	\x0D這道門鎖著。門上畫著一根杖疊在一個凸面圓盤上。\x0D
blk:game1:33:33	\x0D你走下地下室。\x0D
blk:game1:33:36	\x0D你造成了巨大的破壞。\x0D
blk:game1:33:37	\x0D這是一棵樹。別撞太多次。\x0D
blk:game1:33:38	\x0D一個手風琴手衝過來開始演奏〈闖入者〉。他不要錢，只想練習。\x0D
blk:game1:33:39	\x0D這張桌子的桌面上刻滿了塗鴉。\x0D
blk:game1:33:40	\x0D你的錢不夠！\x0D
blk:game1:33:41	\x0D你爬上樓梯。\x0D
blk:game1:33:42	\x0D這是一座大型木造平台，擺滿了桌椅，給附近餐館的客人用。\x0D
blk:game1:33:43	\x0D一個可憐的流浪漢瞇眼看著你討道：「分我一點蛇酒？」\x0D
blk:game1:33:44	\x0D他把整瓶喝乾，然後睡著了。\x0D
blk:game1:33:45	\x0D他把整瓶喝乾。\x0D
blk:game1:33:46	\x0D他喝完睡著了，嘴裡念著：「該死的阿卡波可俱樂部……把我的錢都輸光了……」\x0D
blk:game1:33:47	\x0D流浪漢哀求道：「再給我一點蛇酒？」\x0D
blk:game1:33:48	\x0D欄杆擋著，爬不過去。\x0D
blk:game1:33:49	你不知怎麼搞砸了，砲彈就地爆炸！\x0D
blk:game1:33:50	一個小販胸前的彈帶上掛滿瓶子。「要蛇酒嗎？這附近最好的，十五塊！」\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:33:51	\x0D你站在一條破敗街區的寬闊柏油路中央。\x0D
blk:game1:33:52	\x0D樓梯往上。\x0D
blk:game1:33:53	\x0D樓梯往下。\x0D
blk:game1:33:54	\x0D這面曾經是牆的東西，屬於一棟被爆炸完全炸碎的建築。\x0D
blk:game1:33:55	\x0D一個空架子。\x0D
blk:game1:33:56	\x0D「克勞利神祕小舖」。角落有個留著一呎長鬍子的店員在睡覺。架上擺著各種神祕物品。\x0D
blk:game1:33:57	\x0D這個架子上放著塔羅牌。\x0D
blk:game1:33:58	\x0D線香和香座。\x0D
blk:game1:33:59	\x0D幾根上等的探測杖。\x0D
blk:game1:33:60	\x0D算命、看手相與尋水術的入門書。\x0D
blk:game1:33:61	\x0D魔法書。不，那些咒語沒有用。\x0D
blk:game1:33:62	\x0D你望進水晶球，看見……你看見……你看見一個憤怒的巫師站在山上大吼：「你以為這是《冰城傳奇》嗎？！」\x0D
blk:game1:33:63	\x0D想叫醒老闆是白費力氣。他好像已經睡了好幾個星期。\x0D
blk:game1:33:64	\x0D你翻過欄杆。\x0D
blk:game1:33:65	\x0D你翻不過欄杆。\x0D
blk:game1:33:67	\x0D砲彈「喀」一聲滑進定位！\x0D
blk:game1:33:68	\x0D天花板打開，煤渣磚從上面砸下來，但奇蹟似地一塊都沒打中你！\x0D
blk:game1:33:69	\x0D這個架子上放著一顆水晶球。\x0D
blk:game1:33:71	\x0D喂，別踩桌子。這裡以前是個好地方。\x0D
blk:game1:33:72	\x0D對音樂家放尊重一點！\x0D
blk:game1:33:73	\x0D你這麼想弄到酒，怎麼不乾脆買一點？\x0D
blk:game1:33:74	\x0D這個彈坑有十呎深，你得爬下去。\x0D
blk:game1:33:75	\x0D你開始下滑，但在摔下去之前撐住了。\x0D
blk:game1:33:76	\x0D櫃檯後的女孩扭動著流血，喘著氣說：「要不要……加點薯條？」然後就死了。\x0D
blk:game1:33:77	\x0D自從某個無名人渣把建築炸掉之後，這裡就買不到熱狗了。\x0D
blk:game1:33:78	\x0D爆炸讓平台這一段整個塌了。你得試著從瓦礫堆裡爬過去。\x0D
blk:game1:33:79	\x0D牆塌成一堆過不去的瓦礫。\x0D
blk:game1:33:80	\x0D這間廢棄的畫廊現在是遊民的收容所——那些不想變成遊民熱狗的遊民。\x0D
blk:game1:33:81	\x0D你不能穿過、踩上或踐踏那個流浪漢。\x0D
blk:game1:33:82	\x0D一張破舊的老書桌。\x0D
blk:game1:33:83	\x0D這家好萊塢風格的店以前賣電影劇照、海報、宣傳資料和劇本，但東西全被撕光了。只剩幾張封在塑膠膜後、貼死在牆上的海報。\x0D
blk:game1:33:84	\x0D你成功穿了過去。\x0D
blk:game1:33:85	\x0D密實的瓦礫堆擋住了你。\x0D
blk:game1:33:86	\x0D一門榴彈砲，因為裝填砲彈失誤而炸成碎片！\x0D
blk:game1:33:87	你可以這樣發射砲彈：\x0D\x0D\x11\x10A) 西方，低伸\x0D\x10B) 西方，高吊\x0D\x10C) 西南，低伸\x0D\x10D) 西南，高吊\x0D\x10E) 南方，低伸\x0D\x10F) 南方，高吊\x0D
blk:game1:33:88	\x0D你走過彈坑。\x0D
blk:game1:33:89	\x0D你另一隊人被爆炸的瓦礫淹沒了！\x0D
blk:game1:33:90	\x0D轟！砲彈劃出高高的弧線，落地爆炸！\x0D
blk:game1:33:91	\x0D即將上映：《輻射頭》！\x0D
