# 原文裡**不可翻**的槽：不是文字，所以沒有譯文。
#
# 兩種來源，都在 `docs/re/17` §1 解釋過：
#
# 1. **未用槽的解碼雜訊**——位移表一項涵蓋四個字串，最後一組不一定用滿，
#    沒用到的槽拿 5-bit 解碼器解出來就是一串亂碼。槽要原樣保留（字串靠編號定址），
#    但它不是文字。
# 2. **純控制碼／空白**——只有 `\x0D`／`\x06`／半形空白這類版面用的字元。
#
# 這份清單讓「還有幾條沒翻」這個數字有結論：
# `tools/untranslated.py` 與 `tools/build_lang.py` 都會扣掉它們。
#
# ⚠ 這裡列的 key **不得**出現在任何譯稿檔裡——真的翻了就表示這份分類判斷錯了，
# build 會擋下來。
#
# <key>	<為什麼不可翻>
blk:game2:36:103	純控制碼／空白
exe:0:18	未用槽的解碼雜訊
exe:1:107	未用槽的解碼雜訊
exe:2:131	純控制碼／空白
exe:2:132	純控制碼／空白
exe:2:170	純控制碼／空白
exe:2:171	未用槽的解碼雜訊
exe:3:7	未用槽的解碼雜訊
exe:3:9	未用槽的解碼雜訊
exe:3:10	未用槽的解碼雜訊
exe:3:11	未用槽的解碼雜訊
exe:4:12	未用槽的解碼雜訊
exe:4:13	未用槽的解碼雜訊
exe:4:15	未用槽的解碼雜訊
exe:5:63	未用槽的解碼雜訊
exe:6:11	未用槽的解碼雜訊
exe:7:10	未用槽的解碼雜訊
exe:7:11	未用槽的解碼雜訊
exe:8:25	未用槽的解碼雜訊
exe:8:26	未用槽的解碼雜訊
exe:8:27	未用槽的解碼雜訊
