monster:7mm Vulcan Cannon\x0A\x0As\x0A	7mm Vulcan Cannon\x0A\x0As\x0A
monster:Ace	Ace
monster:Acolyte\x0A\x0As\x0A	Acolyte\x0A\x0As\x0A
monster:Adept Alina	Adept Alina
monster:Adept Dale	Adept Dale
monster:Adept Flora	Adept Flora
monster:Adept Kate	Adept Kate
monster:Adept Mandisa	Adept Mandisa
monster:Adept Nadine	Adept Nadine
monster:Adept Roxanne	Adept Roxanne
monster:Adept Tara	Adept Tara
monster:Al\x0A\x0As\x0A	Al\x0A\x0As\x0A
monster:Android	Android
monster:Auto Laser Turret	Auto Laser Turret
monster:Auto rifle\x0A\x0As\x0A	Auto rifle\x0A\x0As\x0A
monster:Baby Topeka\x0A\x0As\x0A	Baby Topeka\x0A\x0As\x0A
monster:Bandit\x0A\x0As\x0A	Bandit\x0A\x0As\x0A
monster:Barkeep\x0A\x0As\x0A	Barkeep\x0A\x0As\x0A
monster:Base Policem\x0Aa\x0Ae\x0An	Base Policem\x0Aa\x0Ae\x0An
monster:Biker Scum	Biker Scum
monster:Biker Thug\x0A\x0As\x0A	Biker Thug\x0A\x0As\x0A
monster:Blind Minecrawler\x0A\x0As\x0A	Blind Minecrawler\x0A\x0As\x0A
monster:Blood Priest	Blood Priest
monster:Bloodbeast\x0A\x0As\x0A	Bloodbeast\x0A\x0As\x0A
monster:Boa Tronstrictor\x0A\x0As\x0A	Boa Tronstrictor\x0A\x0As\x0A
monster:Bobb\x0Ay\x0Aies\x0A	Bobb\x0Ay\x0Aies\x0A
monster:Bodyguard\x0A\x0As\x0A	Bodyguard\x0A\x0As\x0A
monster:Bouncer\x0A\x0As\x0A	Bouncer\x0A\x0As\x0A
monster:Brass Jerk\x0A\x0As\x0A	Brass Jerk\x0A\x0As\x0A
monster:Brat\x0A\x0As\x0A	Brat\x0A\x0As\x0A
monster:Brother Akira	Brother Akira
monster:Brother Andrew	Brother Andrew
monster:Brother Anthony	Brother Anthony
monster:Brother Austin	Brother Austin
monster:Brother Boris	Brother Boris
monster:Brother Broderick	Brother Broderick
monster:Brother Carl	Brother Carl
monster:Brother Darren	Brother Darren
monster:Brother David	Brother David
monster:Brother Dick	Brother Dick
monster:Brother Diego	Brother Diego
monster:Brother Dominic	Brother Dominic
monster:Brother Donald	Brother Donald
monster:Brother Donatello	Brother Donatello
monster:Brother Frederick	Brother Frederick
monster:Brother George	Brother George
monster:Brother Goliath	Brother Goliath
monster:Brother Greg	Brother Greg
monster:Brother Harold	Brother Harold
monster:Brother Harper	Brother Harper
monster:Brother Jackson	Brother Jackson
monster:Brother James	Brother James
monster:Brother Joseph	Brother Joseph
monster:Brother Juaquin	Brother Juaquin
monster:Brother Jude	Brother Jude
monster:Brother Kenneth	Brother Kenneth
monster:Brother Lucas	Brother Lucas
monster:Brother Mark	Brother Mark
monster:Brother Matthew	Brother Matthew
monster:Brother Nathan	Brother Nathan
monster:Brother Nobel	Brother Nobel
monster:Brother Nuris	Brother Nuris
monster:Brother Phillip	Brother Phillip
monster:Brother Raphael	Brother Raphael
monster:Brother Richard	Brother Richard
monster:Brother Robert	Brother Robert
monster:Brother Thomas	Brother Thomas
monster:Brother Weez	Brother Weez
monster:Bum\x0A\x0As\x0A	Bum\x0A\x0As\x0A
monster:Bunn\x0Ay\x0Aies\x0A	Bunn\x0Ay\x0Aies\x0A
monster:Carapaced Coyote\x0A\x0As\x0A	Carapaced Coyote\x0A\x0As\x0A
monster:Card Shark\x0A\x0As\x0A	Card Shark\x0A\x0As\x0A
monster:Cardinal Chano	Cardinal Chano
monster:Cardinal Scott	Cardinal Scott
monster:Casino Guard\x0A\x0As\x0A	Casino Guard\x0A\x0As\x0A
monster:Casino Thug\x0A\x0As\x0A	Casino Thug\x0A\x0As\x0A
monster:Casino Worker\x0A\x0As\x0A	Casino Worker\x0A\x0As\x0A
monster:Cave Critter\x0A\x0As\x0A	Cave Critter\x0A\x0As\x0A
monster:Centron\x0A\x0As\x0A	Centron\x0A\x0As\x0A
monster:Centron Deluxe Model\x0A\x0As\x0A	Centron Deluxe Model\x0A\x0As\x0A
monster:Charmaine	Charmaine
monster:Chopter\x0A\x0As\x0A	Chopter\x0A\x0As\x0A
monster:Chubby Kid\x0A\x0As\x0A	Chubby Kid\x0A\x0As\x0A
monster:Citrine	Citrine
monster:City Slicker\x0A\x0A\x0A	City Slicker\x0A\x0A\x0A
monster:Clawer Leader\x0A\x0As\x0A	Clawer Leader\x0A\x0As\x0A
monster:Clawm\x0Aan\x0Aen\x0A	Clawm\x0Aan\x0Aen\x0A
monster:Clerk\x0A\x0As\x0A	Clerk\x0A\x0As\x0A
monster:Combat Hacker\x0A\x0As\x0A	Combat Hacker\x0A\x0As\x0A
monster:Covenant	Covenant
monster:Coydog\x0A\x0As\x0A	Coydog\x0A\x0As\x0A
monster:Cutthroat\x0A\x0As\x0A	Cutthroat\x0A\x0As\x0A
monster:Cybertrike\x0A\x0As\x0A	Cybertrike\x0A\x0As\x0A
monster:Cyborg\x0A\x0As\x0A	Cyborg\x0A\x0As\x0A
monster:Cyborg Commando\x0A\x0As\x0A	Cyborg Commando\x0A\x0As\x0A
monster:Cyclon\x0A\x0As\x0A	Cyclon\x0A\x0As\x0A
monster:Dark Viper\x0A\x0As\x0A	Dark Viper\x0A\x0As\x0A
monster:Death Angler\x0A\x0As\x0A	Death Angler\x0A\x0As\x0A
monster:Deranged Farmer\x0A\x0As\x0A	Deranged Farmer\x0A\x0As\x0A
monster:Desert Dweller\x0A\x0As\x0A	Desert Dweller\x0A\x0As\x0A
monster:Desert Lizard\x0A\x0As\x0A	Desert Lizard\x0A\x0As\x0A
monster:Desert Nomad\x0A\x0As\x0A	Desert Nomad\x0A\x0As\x0A
monster:Desert Scav\x0A\x0As\x0A	Desert Scav\x0A\x0As\x0A
