place:AG. store	AG. store
place:Blackmarket	Blackmarket
place:Books	Books
place:Chopper Sim.	Chopper Sim.
place:Clone prep.	Clone prep.
place:HOLY KNOWING	HOLY KNOWING
place:Infirmary	Infirmary
place:Library	Library
place:LV Infirmary	LV Infirmary
place:Market	Market
place:New Thoughts	New Thoughts
place:NUCLEAR AID	NUCLEAR AID
place:Old Doc Bobs	Old Doc Bobs
place:Patch em' up	Patch em' up
place:Q. Emergency	Q. Emergency
place:Q. Emporium	Q. Emporium
place:Ranger Ctr.	Ranger Ctr.
place:Sickbay	Sickbay
place:Store	Store
place:Tech section	Tech section
place:Thrift store	Thrift store
place:Trading car	Trading car
place:Vegas Lib.	Vegas Lib.
