# 文本層的共用翻譯：`<原文>\t<譯文>`。
#
# 42 個地圖區塊**各自帶一份**戰鬥動詞與開門訊息，同樣的英文在 1,571 個 key 裡
# 重複出現。逐 key 翻譯只會讓同一句話被翻出好幾種版本，所以這一層按**文本**翻，
# 由 tools/build_lang.py 套到所有還沒被逐 key 翻到的相同原文上。
#
# 逐 key 的翻譯**永遠優先**——同一句話在某個區塊真的需要不同譯法時，
# 在那個區塊的檔案裡寫一行就會蓋過這裡。
#
# ⚠ 這裡**不放**單一字母、數字、與全大寫的關鍵字（Y／N／A／CHAT／MAYOR／
# FINSTER／UGLY…）。那些是玩家要輸入或選取的詞，翻掉就對不上了
# （密語的比對程式碼還沒逆向，`docs/re/33` §4）。

# --- 攻擊動作（主詞是 \x0B ＝ 名字）---
\x0B attacks	\x0B攻擊
\x0B shoots	\x0B開槍
\x0B fires	\x0B射擊
\x0B triggers	\x0B扣下扳機
\x0B snaps a shot off	\x0B迅速射出一發
\x0B clicks a shot off	\x0B輕輕扣下一發
\x0B's gun lets fly	\x0B的槍噴出火舌
\x0B's gun spits lead	\x0B的槍吐出彈頭
\x0B empties a clip	\x0B清空一個彈匣
\x0B burns a clip	\x0B打光一個彈匣
\x0B rips a clip	\x0B傾瀉一整匣
\x0B fires full auto	\x0B全自動掃射
\x0B triggers a burst	\x0B打出一串點放
\x0B discharges a burst	\x0B射出一串連發
\x0B launches a shell	\x0B發射一枚砲彈
\x0B lauches a shell	\x0B發射一枚砲彈
\x0B fires a rocket	\x0B發射火箭
\x0B blasts a rocket off	\x0B轟出一枚火箭
\x0B ignites a rocket	\x0B點燃火箭
\x0B throws a deadly charge	\x0B扔出致命的炸藥
\x0B chucks an explosive charge	\x0B丟出一包炸藥
\x0B hurls a handful of death	\x0B擲出滿手的死亡
Bright energy streams from \x0B	刺眼的能量從\x0B身上射出
Waves of energy flash from \x0B	能量波從\x0B身上閃出
Energy blasts pulse from \x0B	能量爆從\x0B身上迸發
Sub-atomic particles burst from \x0B	次原子粒子從\x0B身上爆開
Gobs of quarks lance out from \x0B	成團的夸克從\x0B身上射穿而出

# --- 命中與傷害的片段 ---
hits \x0F 	命中 \x0F
nails \x0F 	擊中 \x0F
\x0F 	\x0F
 for 	 造成
 and hits for 	 並造成
 but fail\x0As\x0A\x0A to inflict any damage	 但\x0A\x0A\x0A沒有造成任何傷害
 \x0Ais\x0Aare\x0A stitched full of bullets for 	 \x0A\x0A\x0A被子彈打成蜂窩，
 \x0Ais\x0Aare\x0A raked in a crossfire of bullets for 	 \x0A\x0A\x0A被交叉火網掃中，
 \x0Ais\x0Aare\x0A filled full of lead taking 	 \x0A\x0A\x0A吃滿了鉛，

# --- 遠程武器的動詞 ---
 drills 	 鑽穿
 blazes away at 	 朝著猛烈開火
 sprays 	 掃射
 triggers a burst at 	 朝著點放
 fries 	 燒灼
 toasts 	 烤焦
 pounds at 	 猛轟
 pounds 	 猛擊
 bowls into 	 撞進
 bowls 	 撞飛

# --- 近戰的動詞 ---
 whomps on 	 重擊
 thrashes 	 痛毆
 hammer\x0As\x0A\x0A 	 猛捶\x0A\x0A\x0A
 wallop\x0As\x0A\x0A 	 狠揍\x0A\x0A\x0A
 batter\x0As\x0A\x0A 	 連續痛擊\x0A\x0A\x0A
 brutally pummel\x0As\x0A\x0A 	 殘暴地毆打\x0A\x0A\x0A
 pummel\x0As\x0A\x0A 	 毆打\x0A\x0A\x0A
 brutalize\x0As\x0A\x0A 	 狂暴地施暴\x0A\x0A\x0A
 beat\x0As\x0A\x0A 	 打擊\x0A\x0A\x0A
 bashes 	 重砸
 mauls 	 撕咬
 claws 	 抓撓
 pounces on 	 撲向
 rips into 	 撕開

# --- 擊殺的收尾（\x0F 印數量，\x0E 是他/她/它三選一）---
immolates \x0F 	燒盡 \x0F
incinerates \x0F 	焚化 \x0F
inflames \x0F 	點燃 \x0F
irradiates \x0F 	輻照 \x0F
ignites \x0F 	引燃 \x0F
torches \x0F 	燒穿 \x0F
vaporizes \x0F 	汽化 \x0F
melts into \x0F 	熔穿 \x0F
bores through \x0F 	貫穿 \x0F
punches a hole in \x0F 	在 \x0F 身上打出一個洞
drills an opening in \x0F 	在 \x0F 身上鑽出破口
blows a hole in \x0F 	在 \x0F 身上炸出大洞
tears a jagged rent in \x0F 	在 \x0F 身上撕出參差的裂口
scores a dark chasm in \x0F 	在 \x0F 身上劃出漆黑的深溝
shreds through \x0F 	撕穿 \x0F
 and rips \x0Ehim\x0Eher\x0Eit\x0E to shreds	 並把\x0E他\x0E她\x0E它\x0E撕成碎片
 and shreds \x0Ehim\x0Eher\x0Eit\x0E	 並撕碎\x0E他\x0E她\x0E它\x0E
