# game2 資源 40：拉斯維加斯——胖佛萊迪的賭場、牢房與街上的乞丐
#
# ⚠ 密語與關鍵字不翻：Y／N／A–D／O／C／BIRD／FAT FREDDY／FARAN BRYGO／
# ROBOTS／DEATH MACHINES／MAX／ACE／BIG BOSS／MUSHROOM CLOUD／HOSPITAL／LIBRARY。
# 街名照當年台灣代理常見的音譯處理（Maryland Parkway ＝ 馬里蘭大道）。
blk:game2:40:1	\x0D你靈巧的手指解開了繩結。你掙脫了！\x0D
blk:game2:40:2	\x0D繩子綁得太緊。你越掙扎，繩子就越陷進手腕。\x0D
blk:game2:40:3	\x0D你被繩子綁著。不掙脫的話哪裡都去不了。\x0D
blk:game2:40:4	\x0D看來你的夥伴們遇上了點麻煩。他們被繩子綁著，你迅速幫他們解開。\x0D
blk:game2:40:5	FAT FREDDY
blk:game2:40:6	\x0D老乞丐把鈔票揉成一團塞進袍子裡。「多謝。」他得意地笑了。\x0D
blk:game2:40:7	\x0D離開牢房。\x0D
blk:game2:40:8	要玩輪盤嗎？一次五十塊。\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game2:40:9	\x0D這本書丟了也罷，它的價值只剩下當衛生紙。\x0D
blk:game2:40:10	\x0D幽暗深處，你看見一個老乞丐坐在一堆破布裡。\x0D
blk:game2:40:11	\x0D「給我點錢，我告訴你一件你需要知道的事。」\x0D
blk:game2:40:12	\x0D「外面是死神！」他哀號著。\x0D
blk:game2:40:13	\x0D「沒人在乎一個可憐的老乞丐，」他抽噎著，「不過嘛，雲只幫自助的人。」\x0D
blk:game2:40:14	\x0D「麥克斯有個叫音波鑰匙的東西。其實他有兩把。他跟我說要把一把藏在高爾夫球場。」\x0D
blk:game2:40:15	\x0D昏迷中你被運到一座監獄。醒來時，你發現手腳被結實的繩子綁著。\x0D
blk:game2:40:16	那偽裝好得驚人。切片機像是憑空冒出來的。\x0D
blk:game2:40:17	\x0D這裡有一堆廢鐵，曾經是一台切片機。\x0D
blk:game2:40:18	\x0D牆上鋪滿暗色鏡面，隱隱映出室內的景象，讓這地方顯得更大。\x0D
blk:game2:40:19	\x0D佛萊迪辦公室的牆做了重重補強。灰泥底下是鋼筋和混凝土。\x0D
blk:game2:40:20	\x0D離開這棟建築。\x0D
blk:game2:40:21	\x0D離開胖佛萊迪的地盤。\x0D
blk:game2:40:22	\x0D你撞上佛萊迪的桌子。桌上散著發霉的綠色和黃色紙張。\x0D
blk:game2:40:23	辦公室的門是厚重的橡木門，關著。你敲門時，一個聲音吼道：「暗號是什麼？」\x0D
blk:game2:40:24	BIRD
blk:game2:40:25	\x0D賭場裡每個警衛都被驚動了，全都在追你。\x0D
blk:game2:40:26	戰鬥爆發。佛萊迪的手下拔槍，擋路的人就自求多福吧！\x0D
blk:game2:40:27	賭客們賭得正開心！\x0D
blk:game2:40:28	「上！」\x0D
blk:game2:40:29	你和胖佛萊迪面對面站著。你要：\x0D\x0D\x11\x10A) 聊天\x0D\x10B) 攻擊\x0D\x10C) 道歉離開\x0D
blk:game2:40:30	A
blk:game2:40:31	B
blk:game2:40:32	C
blk:game2:40:33	\x0D請看第 21 段。\x0D
blk:game2:40:34	\x0D佛萊迪一點也不客氣。「滾出我的辦公室，別再回來！」他吼道。警衛把你們架出去，砰地關上門。\x0D
blk:game2:40:35	胖佛萊迪滿懷期待地看著你。你要接受他的提議嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game2:40:36	Y
blk:game2:40:37	N
blk:game2:40:38	\x0D「好，很好！」那個肥胖的黑幫頭子笑得直冒泡，「這是一千塊訂金。去賭場好好玩吧。」\x0D
blk:game2:40:39	\x0D你被帶回賭場。\x0D
blk:game2:40:40	\x0D「你也許會改變心意，」他冷笑一聲，按下桌上一個按鈕。你聽見輕微的嘶嘶聲，聞到一股讓腦子發麻的甜膩氣味。\x0D
blk:game2:40:41	\x0D「我看你們拿到戒指了。布萊哥一定死了。很好。你們幫了我大忙，傻瓜。」請看第 119 段。\x0D
blk:game2:40:42	\x0D「滾！沒拿到布萊哥的戒指之前別讓我看到你們。」\x0D
blk:game2:40:43	\x0D門已經關著了。\x0D
blk:game2:40:44	\x0D門已經開著了。\x0D
blk:game2:40:45	\x0D門盪了開來。一個胖得驚人的男人正等著迎接你們。\x0D
blk:game2:40:46	是埋伏！佛萊迪根本不打算付錢。他的辦公室裡滿是雇來的殺手。\x0D
blk:game2:40:47	\x0D碉堡——實心混凝土。佛萊迪的手下在上面寫滿了髒話。\x0D
blk:game2:40:48	\x0D「幫我鬆綁。」那個囚犯說。\x0D
blk:game2:40:49	\x0D成功了。你把他放了出來！\x0D
blk:game2:40:50	\x0D你使盡全力，鎖鏈紋風不動。\x0D
blk:game2:40:51	\x0D一整塊巨大的混凝土把房間封死。\x0D
blk:game2:40:52	\x0D「聖約」按了旁邊牆上的某幾處，那塊混凝土緩緩沉進地板。\x0D
blk:game2:40:53	\x0D這裡好像沒有出路。\x0D
blk:game2:40:54	門上標著「危險！內有囚犯！」旁邊有兩個按鈕：\x0D\x0D\x11\x10O 開\x0D\x10C 關\x0D
blk:game2:40:55	O
blk:game2:40:56	C
blk:game2:40:57	\x0D混凝土板緩緩沉進地板，牢房開了。\x0D
blk:game2:40:58	\x0D混凝土板緩緩從地板升起，把牢房封上。\x0D
blk:game2:40:59	\x0D陷阱！地板通著 220 伏特的電。滋——！\x0D
blk:game2:40:60	這裡是胖佛萊迪打手的據點。他們知道你們是敵人。\x0D
blk:game2:40:61	\x0D這道鋼製牢門鎖著。\x0D
blk:game2:40:62	\x0D你把它打開了，但警報響起驚動了幾個警衛。除了佛萊迪，沒人可以進那個房間。\x0D
blk:game2:40:64	\x0D你安全地打開了門。\x0D
blk:game2:40:65	\x0D你解除警報，門喀一聲開了。\x0D
blk:game2:40:66	\x0D「行行好吧！」那個老可憐蟲哀求著，「食物、錢、子彈，什麼都好！」\x0D
blk:game2:40:67	你要做什麼：\x0D\x0D\x11\x10A) 聊天\x0D\x10B) 給錢\x0D\x10C) 攻擊\x0D\x10D) 不理他離開\x0D
blk:game2:40:68	D
blk:game2:40:69	「讓我給你們一點提示。」你要問什麼？\x0D
blk:game2:40:70	ROBOTS
blk:game2:40:71	DEATH MACHINES
blk:game2:40:72	MAX
blk:game2:40:73	ACE
blk:game2:40:74	FARAN BRYGO
blk:game2:40:75	BIG BOSS
blk:game2:40:76	MUSHROOM CLOUD
blk:game2:40:77	HOSPITAL
blk:game2:40:78	LIBRARY
blk:game2:40:79	\x0D「我不知道，但我得走了。再見！」\x0D
blk:game2:40:80	那個乞丐的破布底下藏著一把烏茲衝鋒槍。\x0D
blk:game2:40:81	你看到一個穿著破爛赭色長袍的男人。\x0D
blk:game2:40:82	一大群昆蟲嗡嗡地朝你飛來。\x0D
blk:game2:40:83	有人躲在掩護後朝你開槍。\x0D
blk:game2:40:84	死亡機器埋伏著。牠們的偽裝幾乎完美無缺。\x0D
blk:game2:40:85	哀嚎的乞丐們朝你衝來。\x0D
blk:game2:40:86	這裡有個男人正在拚命。\x0D
blk:game2:40:87	這台死亡機器已經撐不住了。\x0D
blk:game2:40:88	\x0D這裡有個男人被鎖在牆上。是「聖約」！他被胖佛萊迪的人抓了。\x0D
blk:game2:40:89	\x0D請看第 65 段。\x0D
blk:game2:40:90	\x0D「那些機器人從西邊來，而且越來越糟。麥克斯跟我說牠們來自一個地下基地。」\x0D
blk:game2:40:91	\x0D「他去找夏曼大祭司幫忙對付機器人，從此再也沒人見過他。」\x0D
blk:game2:40:92	\x0D「他朋友『聖約』就沒那麼走運了。他被胖佛萊迪的人抓走，關在巨石公路附近的牢裡。」\x0D
blk:game2:40:93	\x0D「胖佛萊迪一定在維加斯大道和中央路口的俱樂部裡。千萬不要拒絕他，他會很不高興。傳言說暗號是 Bird。」\x0D
blk:game2:40:94	\x0D「他一直在組織對抗機器人的防禦。他派了『聖約』去求援，卻失去了他的左右手麥克斯。老大正在翻天覆地找他。老大不喜歡留下爛攤子。你要是不在他的名單上，他可能會想幹掉你。」\x0D
blk:game2:40:95	\x0D「僕從教派只讓教徒進入馬里蘭大道上的神殿。」\x0D
blk:game2:40:96	\x0D「醫院在查爾斯頓大道的西端。」\x0D
blk:game2:40:97	\x0D「圖書館在特羅皮卡納大道的東端。」\x0D
blk:game2:40:98	\x0D「那件事我不想多談。我得小心點。你永遠不知道胖佛萊迪或法蘭·布萊哥的人什麼時候在旁邊。」\x0D
blk:game2:40:99	\x0D這間燒毀的小屋裡滿是昆蟲。\x0D
blk:game2:40:100	\x0D牆上一張字條寫著：「你夠酷的時候，太陽總是照著你。」\x0D
blk:game2:40:101	\x0D一切都在旋轉。那股氣體幾秒鐘就把你放倒了。\x0D
blk:game2:40:102	\x0D你說錯暗號，門上一片嵌板打開，一隻裝在彈簧上的拳擊手套打中你的鼻子，然後縮回門裡。\x0D
blk:game2:40:103	\x0D有防毒面具的人及時戴上了。\x0D
blk:game2:40:105	\x0D抱歉啦老兄，你輸了。再試一次吧。\x0D
blk:game2:40:106	一個穿著傳統軍服的男人站在這裡。\x0D
blk:game2:40:107	\x0D你的錢不夠！\x0D
blk:game2:40:108	\x0D「呼，我還以為這次出不來了！謝啦！」\x0D
blk:game2:40:109	\x0D你的錢不夠幫他。\x0D
